Rxn,Flux
ALATA_D2,0.0
SHCHD2,0.00019301684598714255
CPPPGO,0.00019301684598714255
GTHOr,0.0
DHORD5,0.0
GLYCTO2,2.472651423890415e-12
GLYCTO3,0.0
GLYCTO4,0.0
PFK_3,1.0241600678014038
TRPS2,0.0
G3PD5,0.0
LEUTAi,0.39525463311667086
SHK3Dr,0.33434904471472804
G5SD,0.19393806275208117
ALATA_L2,0.0
APRAUR,0.00038603369197430206
DB4PS,0.0007720673839486041
RBFK,0.0001930168459871595
ACP1_FMN,0.0
RBFSb,0.00038603369197430206
EX_pi_e,-0.8460717973986105
EX_h_e,8.061304705187982
DMATT,0.00028075177598129824
GRTT,0.00028075177598129824
UPP3S,0.0003860336919742851
UPPDC1,0.00019301684598714255
TMDPP,0.0
EX_ade_e,0.0
EX_4abut_e,0.0
EX_ac_e,0.0
EX_akg_e,0.0
EX_ala__L_e,0.0
EX_arg__L_e,0.0
EX_asp__L_e,0.0
EX_cytd_e,0.0
EX_fum_e,0.0
EX_glu__L_e,0.0
EX_gua_e,0.0
HCO3E,2.510526248289755
IMPC,-0.4760497301482782
IMPD,0.21338012323878608
ECOAH4,0.0
GLUTRS,0.0030882695357942807
TMPPP,0.00019301684598714255
URIK1,0.0
URIK2,0.0
CYTDK1,0.0
CYTDK2,0.0
XPPT,0.0
HXPRT,0.0
NDPK5,0.0
DHORTS,-0.2902183749276678
OMPDC,0.2902183749276678
CS,6.494449453903817
ICDHyr,6.494449453903817
ACALD,0.0
ACS,0.0
PPA,2.7612902251990548
PPCK,0.0
ME1,0.0
ALAR,0.036559145328564635
ALATA_L,-0.5103189938040059
RBK,0.0
GLYK,0.0
PPM,-0.000754520397949739
ASPTA,-2.5688962972148577
FBP,0.0
GLGC,0.0
PYK,0.6108846343020904
A5PISO,0.03414643475372536
EX_met__L_e,0.0
IPPMIb,-0.39525463311667086
ACHBS,0.25488751861902115
ACLS,0.7671015869109016
PSCVT,0.33434904471472804
ANS,0.0498685342086781
ANPRT,0.0498685342086781
CHORM,0.2837084431221013
CHORS,0.33434904471472804
IGPS,0.0498685342086781
EX_fe3_e,-0.0
EX_glcn_e,0.0
EX_glyc_e,0.0
EX_mn2_e,-0.0006053710169596743
ECOAH6,0.0
ENO,15.183971351821983
FBA,7.014784867468611
MGSA,0.0
PPS,0.0
PGI,6.4074797725509125
PGK,-16.691564521375305
EDA,0.0
PGL,3.5925202274490875
RPE,1.7143571245775813
TALA,0.0
TKT1,1.0241600678014038
G6PDA,0.0
ALCD2x,0.0
ALDD2y,0.0
EX_ura_e,0.0
EX_val__L_e,0.0
EX_xan_e,0.0
FMNAT,0.0001930168459871595
NADDP,0.0
NMNAT,0.0
NDPK6,0.0
NDPK8,0.0
PYNP2r,0.0
DURIPP,0.0
PTRCTA,0.0
CYSDS,0.0
TRPAS2,-0.0498685342086781
NDP3,0.0
CDPPH,0.0
NDP7,0.0
EX_co2_e,23.98573245416413
PMDPHT,0.00038603369197430206
ILETA,-0.25488751861902115
VALTA,-0.37125035627026987
ORPT,-0.2902183749276678
RBFSa,0.0007720673839486041
DHAD2,0.25488751861902115
G1PP,0.0
PFL,0.0
FRD2,0.0
FRD3,0.0
POX,0.0
PTAr,-0.5110735142019565
ACKr,0.5110735142019565
EX_hxan_e,0.0
EX_ile__L_e,0.0
EX_lac__L_e,0.0
EX_leu__L_e,0.0
EX_orn_e,0.0
EX_pro__L_e,0.0
EX_pyr_e,0.0
EX_succ_e,0.0
EX_thymd_e,0.0
EX_tyr__L_e,0.0
MOAT,0.017073217376862695
UDCPDPS,8.77349299941557e-05
USHD,0.017073217376862695
LPADSS,0.017073217376862695
TDSK,0.017073217376862695
EX_ptrc_e,0.0
EX_spmd_e,-0.0
EX_thym_e,-0.0
EX_xtsn_e,0.0
NTPP1,0.0
NTPP2,0.0
NTPTP1,0.0
NTPTP2,0.0
IPMD,0.39525463311667086
AIRC3,-0.3929384309648145
ADSL2r,0.3929384309648145
EX_fe2_e,-0.014213058659053222
PUNP5,0.0
PUNP6,0.0
PUNP7,0.0
RNDR1,0.0
RNDR3,0.0
RNDR4,0.0
TMDS,0.022960231179470547
TMDK1,0.0
PPCDC,0.0005965975239609067
FTHFD,0.0
EX_glc__D_e,-10.0
EDD,0.0
DHQTi,0.33434904471472804
PUNP1,-0.000754520397949739
PUNP2,0.0
PUNP3,0.0
DHAD1,0.7671015869109016
IPPMIa,-0.39525463311667086
EX_alltn_e,0.0
G3PD7,0.0
NADH9,0.0
NADH10,0.0
MDH,6.466242673913148
FUM,6.466242673910675
PYDXNK,0.0
PYAM5PO,0.0
OHPBAT,-0.0003860336895016303
EX_for_e,0.0
EX_gly_e,0.0
EX_lys__L_e,0.0
EX_ser__L_e,0.0
EX_trp__L_e,0.0
GLUTRR,0.0030882695357942807
GLCS1,0.0
GLCP,0.0
EX_fmn_e,-0.0
ADMDC,0.0
AGMT,0.0
ARGDC,0.0
ARGSS,0.2595023759367137
AGPR,-0.2595023759367137
SPMS,0.0
G1SAT,0.0030882695357942807
KDOCT2,0.03414643475372536
OAADC,0.0
PGAMT,-0.0828919618584783
UAGDP,0.0828919618584783
UAGCVT,0.024372763552376452
GLUR,-0.024372763552376452
UAG2E,0.0
EX_acald_e,0.0
MACPD,0.0
ICHORS_copy1,0.0
EX_zn2_e,-0.0002982987619801294
HACD5,0.0
DNMPPA,0.0005790505379614245
HPPK2,0.0005790505379614245
PTPATi,0.0005965975239609067
HEX7,0.0
DXPRIi,0.0025092189978328516
OPHBDC,0.00019301684598714255
GHMT2r,0.9788849344225414
DHORD2,0.2902183749276678
ADK4,0.0
INSK,0.0
ABTA,0.0
SSALx,0.0
ASPT,0.0
SERD_L,0.0
THRD,0.0
HEX4,0.0
KARA1,-0.7671015869109016
KARA2,0.25488751861902115
ACCOAC,2.1175878173249405
NADK,0.0003948071849740049
ICHORS_copy2,0.0
DHBD,0.0
ICHORT,0.0
NTD2,0.0
NTD4,0.0
NTD5,0.0
NTD6,0.0
LGTHL,0.0
PYDXPP,0.0
PDXPP,0.0
HACD6,0.0
ECOAH1,0.0
ECOAH2,0.0
ECOAH3,0.0
DXPS,0.002895252689807143
CDPMEK,0.0025092189978328516
MECDPS,0.0025092189978328516
PMANM,0.0
ICL,0.0
GLYCL,0.04770148143905384
CMPN,0.0
HCYSMT,0.0
TRE6PH,0.0
PPC,2.597103077205527
G3PT,0.0
CITL,0.0
PYDXK,0.0
GTPCII2,0.00038603369197430206
URIC,0.0
SADT2,0.21742470351151733
LCARS,0.0
ALCD19,0.0
GLXCL,0.0
KAS14,0.0
EDTXS1,0.0
EDTXS2,0.0
NNDPR,0.0020003564038671147
HACD4,0.0
HACD7,0.0
AACPS1,0.0
SDPDS,0.32543517582732173
NTD9,0.0
NTD10,0.0
ADPT,0.0
ADK1,1.9900036821274205
OCTDPS,0.00019301684598714255
EX_dha_e,0.0
EX_glyald_e,0.0
AACPS2,0.0
AACPS3,0.0
AACPS4,0.0
EX_glyclt_e,0.0
EX_idon__L_e,0.0
EX_indole_e,0.0
CAT,0.0
SERASr,0.0
ACMAMUT,0.0
MLTP2,0.0
PACCOAL,0.0
ACGAMT,0.0
AADDGT,0.0
GMHEPK,0.0
TRE6PS,0.0
UDCPDP,0.024372763552376452
TREH,0.0
CYTK1,0.15922135095339446
CYTK2,0.0
GK1,0.21338012323878608
HACD1,0.0
HACD2,0.0
G1PTT,0.0
TDPGDH,0.0
TDPDRE,0.0
TDPDRR,0.0
G3PD6,0.0
ALLTN,0.0
UAPGR,0.024372763552376452
NDPK7,0.0
AOBUTDs,0.0
GLYAT,0.0
ADNUC,0.0
GMHEPPA,0.0
S7PI,0.0
TRPS3,0.0498685342086781
FADRx,0.0007720673839485825
GTPDPK,0.0
NADN,0.0
NDPK2,0.0
NDPK3,0.0
NDPK4,0.0
FCLT,0.00019301684598714255
HBZOPT,0.00019301684598714255
PNTK,0.0005965975239609067
DPCOAK,0.0005965975239609067
KDOPS,0.03414643475372536
KDOPP,0.03414643475372536
AST,0.0
SGDS,0.0
GSPMDA,0.0
GSPMDS,0.0
GUAD,0.0
DGK1,0.0
DTMPK,0.022960231179470547
NDPK1,0.0
TRDR,0.21742470351151733
PGMT,0.0
RHCCE,0.0004737686219684408
MLTG3,0.0
NADTRHD,0.0
FMNRx2,0.0
EX_urea_e,-0.0
GMPS2,0.0
AMPN,0.0
GSNK,0.0
ADCS,0.0005790505379614245
ADCL,0.0005790505379614245
DHAPT,0.0
EX_lac__D_e,0.0
UMPK,0.3316643558569069
DURIK1,0.0
UPPRT,0.0
CTPS2,0.1408321096266188
NTD1,0.0
NTD7,0.0
PAPPT3,0.024372763552376452
UAGPT3,0.024372763552376452
AGMHE,0.0
GMHEPAT,0.0
EX_h2s_e,-0.0
EX_gthrd_e,0.0
IDOND,0.0
IDOND2,0.0
GLYCLTDx,0.0
HPYRRy,0.0
ACODA,0.2595023759367137
ADA,0.0
DADA,0.0
ADD,0.0
ADSS,0.26266960690949215
AGDC,0.0
ASNN,0.0
ASNS2,0.21148504875091229
ASPCT,0.2902183749276678
DMPPS,0.00028075177598129824
MCOATA,2.1175000823949466
IPDPS,0.002228467221851555
DAPE,0.32543517582732173
DHDPRy,0.32543517582732173
HSK,0.47745348902819534
SDPTA,-0.32543517582732173
THRS,0.47745348902819534
HSST,0.1351117921909998
PPNDH,0.16253773130717286
DDPA,0.33434904471472804
NMNDA,0.0
NNAM,0.0
P5CD,0.0
TDPADGAT,0.0
MALS,2.472651423890415e-12
TRE6PP,0.0
ADPRDP,0.0
G3PD2,-0.12196909967787525
ACCOAL,0.0
GALUi,0.0
U23GAAT,0.03414643475372539
UAAGDS,0.024372763552376452
UAMAS,0.024372763552376452
UAMAGS,0.024372763552376452
UGLYCH,0.0
AKGDH,5.551219995029649
HPYRRx,0.0
GLYCDx,0.0
ASP1DC,0.0005965975239609067
UGMDDS,0.024372763552376452
UHGADA,0.03414643475372539
UAGAAT,0.03414643475372539
ATPPRT,0.08311129918346369
HISTD,0.08311129918346369
IGPDH,0.08311129918346369
PRPPS,0.8183300125344783
PRATPP,0.08311129918346369
PRMICI,0.08311129918346369
SERAT,0.21742470351151733
CYSS,0.21742470351151733
BPNT,0.21742470351151733
PAPSR,0.21742470351151733
ASPK,0.938000457046517
ASAD,-0.938000457046517
DAPDC,0.3010624122749453
METAT,0.0010352721739310374
TMPK,0.00019301684598714255
GLYCK2,0.0
ENTCS,0.0
SULR,0.21742470351151733
URDGLYCD,0.0
CBMKr,0.5497207508643815
ACM6PH,0.0
NNATr,0.0020003564038671147
CYTDH,0.0
PSERT,1.5075931695533231
AIRC2,0.3929384309648145
GAPD,16.691564521375305
HEX1,0.0
GND,3.5925202274490875
DM_amob_c,8.77349299941557e-05
ME2,0.0
ARGSL,0.2595023759367137
CBPS,0.0
GLU5K,0.19393806275208117
IPPS,0.39525463311667086
EX_mg2_e,-0.0076066184304933
ACOATA,0.0
MLTP3,0.0
SPODM,0.0014256926124046653
AHCYSNS,0.0004737686219684408
NTPP4,0.0
NTPP3,0.0
NTPP6,0.0
NTPP7,0.0
NTPP8,0.0
P5CR,0.19393806275208117
DHPPDA2,0.00038603369197430206
G5SADs,0.19393806275208117
PPCSCT,0.0
CYTD,0.0
DCYTD,0.0
DBTS,8.77349299941557e-05
DCTPD,0.0
DHDPS,0.32543517582732173
G1PACT,0.0828919618584783
GART,0.002123185305858616
CSND,0.0
GF6PTA,0.0828919618584783
H2SO,0.0
GLUCYS,0.0
GLUN,0.0
GLUPRT,0.39313144781080167
GMPR,0.0
NADS1,0.0020003564038671147
OCBT,0.2595023759367137
GARFT,0.391008262504943
GPDDA2,0.0
PHETA1,-0.16253773130717286
PPND,0.12117071181492844
TRPS1,0.0
PRAMPC,0.08311129918346369
MCITL2,0.0
MDH3,0.0
SOTA,0.0
SGSAD,0.0
PTA2,0.0
MDH2,0.0
ACOTA,-0.2595023759367137
PDX5PS,0.00019301684598714255
PPBNGS,0.0015441347678971404
PPNCL2,0.0005965975239609067
PRAGSr,0.39313144781080167
PRFGS,0.39313144781080167
ETHAAL,0.0
MAN1PT2,0.0
AP4AH,0.0
ADNCYC,0.0
MCITS,0.0
PPAKr,0.0
NTP3,0.0
PPM2,0.0
MOAT2,0.017073217376862695
EX_adn_e,0.0
EX_ins_e,0.0
G6PDH2r,3.5925202274490875
NADH5,0.0
MOHMT,0.0005965975239609067
EX_glyc3p_e,0.0
GMPS,0.21338012323878608
FTHFLi,0.0
CHRPL,0.00019301684598714255
TDPAGTA,0.0
UACMAMO,0.0
FBA3,1.0241600678014038
PMPK,0.00019301684598714255
LCADi,0.0
ADK3,0.0
GLUDC,0.0
ADSK,0.21742470351151733
HSDy,-0.6125652812191952
CYSTL,0.1351117921909998
SHSL1,0.1351117921909998
SSALy,0.0
EX_15dap_e,-0.0
GLUtex,0.0
GLYtex,0.0
GLYALDtex,0.0
GLYCtex,0.0
GLYC3Ptex,0.0
GLYCLTtex,0.0
GUAtex,0.0
Htex,-8.061304705187982
H2Otex,-47.15497017061314
FACOAL160t2pp,0.0
FACOAL180t2pp,0.0
O2tpp,22.112155217512143
PYRt2rpp,0.0
THD2pp,0.0
XANtpp,0.0
DAPtex,0.0
12PPDStex,0.0
ACtex,0.0
ACALDtex,0.0
ACACT7r,0.0
PSP_L,1.5075931695533231
ACACT2r,0.0
ACACT3r,0.0
ACACT4r,0.0
SUCCt2_2pp,0.0
SUCFUMtpp,0.0
SULabcpp,0.0
AHGDx,0.0
THMDt2pp_copy1,0.0
EX_ca2_e,-0.004562216359696096
Kt2pp,0.17124980985559252
AKGt2rpp,0.0
EX_agm_e,0.0
EX_hxa_e,0.0
THMDt2pp_copy2,0.0
THRabcpp,0.0
TRPt2rpp,0.0
TYRt2rpp,0.0
URIt2pp_copy1,0.0
URIt2pp_copy2,0.0
VALabcpp,0.0
XTSNt2rpp,0.0
THRt4pp,0.0
GTPCI,0.0005790505379614245
FEOXAMabcpp,0.0
DRPA,0.0
TKT2,0.6901970567761774
FEENTERabcpp,0.0
FECRMabcpp,0.0
ARBt2rpp,0.0
CO2tpp,-23.98573245416413
DHAtpp,0.0
ARGabcpp,0.0
ARGAGMt7pp,0.0
ASNt2rpp,0.0
ASPabcpp,0.0
ASPt2pp,0.0
ASPt2_2pp,0.0
ASPt2_3pp,0.0
HIStex,0.0
HXAtex,0.0
HYXNtex,0.0
IDONtex,0.0
ILEtex,0.0
INStex,0.0
Ktex,0.17124980985559252
D_LACtex,0.0
EX_fad_e,-0.0
ASPtex,0.0
ABUTt2pp,0.0
CYSabcpp,0.0
CYTBDpp,0.0
CYTBD2pp,0.0
ACALDtpp,0.0
ACt2rpp,0.0
EX_fe3dcit_e,0.0
EX_feenter_e,0.0
ATPS4rpp,70.6770014029853
INDOLEtex,0.0
L_LACtex,0.0
ACt4pp,0.0
ADEt2rpp,0.0
ADNt2pp_copy1,0.0
ADNt2pp_copy2,0.0
ALAabcpp,0.0
ALLTNt2rpp,0.0
ARBabcpp,0.0
ECOAH8,0.0
GLCDpp,0.0
GUAtpp,0.0
HYXNtpp,0.0
FE3DCITabcpp,0.0
CPGNtonex,0.0
GLCNtex,0.0
O2tex,22.112155217512143
ORNtex,0.0
ECOAH5,0.0
DHFS,0.0005790505379614245
CITt7pp,0.0
EX_ni2_e,-0.00028075177598129824
CHLabcpp,0.0
FE2abcpp,0.0
FUMt2_2pp,0.0
FUMt2_3pp,0.0
FEENTERtonex,0.0
CYTDt2pp_copy1,0.0
CYTDt2pp_copy2,0.0
EX_meoh_e,8.77349299941557e-05
GLCtex_copy1,0.0
FE3DCITtonex,0.0
PHEtex,0.0
PItex,0.8460717973986105
ACGAMK,0.0
METS,0.13558556081296824
EX_cu2_e,-0.0006229180029585055
CYSabc2pp,0.0
PRASCSi,0.3929384309648145
TRSARr,0.0
EX_pheme_e,-0.0
PTRCtex,0.0
PYRtex,0.0
SERtex,0.0
SO4tex,0.22123239947326367
SPMDtex,0.0
SUCCtex,0.0
THRtex,0.0
THMDtex,0.0
METtex,0.0
NH4tex,9.475460174298757
URIH,0.0
XTSNH,0.0
INSH,0.0
CO2tex,-23.98573245416413
PPK2,0.0
CYStex,0.0
CYTDtex,0.0
MTHFR2,0.13558556081296824
ASPO3,0.0
ASPO5,0.0
ASPO4,0.0
ASPO6,0.0020003564038671147
LEUtex,0.0
LYStex,0.0
FUMtex,0.0
ACACT5r,0.0
FE2tex,0.014213058659053222
DHPS2,0.0005790505379614245
MTHFC,0.8672510094992084
MTHFD,0.8672510094992084
CADVtpp,0.0
QULNS,0.0020003564038671147
ALKP,0.0
EX_cobalt2_e,-8.77349299941557e-05
L_LACD3,0.0
L_LACD2,0.0
ACACT6r,0.0
TRPtex,0.0
TYRtex,0.0
URAtex,0.0
UREAtex,0.0
URItex,0.0
VALtex,0.0
XANtex,0.0
ABUTtex,0.0
FORtppi,0.0
DATPHs,0.0
GLCTR1,0.0
LIPAabcpp,0.0
GGGABADr,0.0
EX_glyc__R_e,0.0
EX_eca4colipa_e,-0.0
GLYOX3,0.0
DHBSH,0.0
ENTERES,0.0
FEOXAMUtex,0.0
ARBTNtpp,0.0
ARBTNtex,0.0
LADGMDH,0.0
ALAGLUE,0.0
FEENTERtpp,0.0
FEENTERtex,0.0
FE3HOXUtpp,0.0
FEOXAMUtpp,0.0
FECRMUtpp,0.0
FE3HOXR2,0.0
PTRCt2pp,0.0
GGGABAH,0.0
PHEMEabcpp,0.0
ECAP1pp,0.0
UDCPDPpp,0.0
ECAP2pp,0.0
ECA4OALpp,0.0
FE3Ri,0.0
FE3HOXR3,0.0
FEENTERR1,0.0
FEENTERR3,0.0
GLCTR3,0.0
HEPT4,0.0
CRNt8pp,0.0
CRNt2rpp,0.0
CRNDt2rpp,0.0
CTBTt2rpp,0.0
PHEMEtiex,0.0
AGM3PA,0.0
METSOXR1,0.0
METSOXR2,0.0
AMPTASECG,0.0
ETHAtex,0.0
FEENTERR2,0.0
FLVR,0.0
FE3HOXR1,0.0
FEENTERexs,0.0
FE3HOXexs,0.0
FECRMR3,0.0
LALGP,0.0
AGM4PApp,0.0
AGM4PA,0.0
RNDR3b,0.0
RNDR4b,0.0
FEROpp,0.0
AM4PCP,0.0
AM3PA,0.0
UM4PCP,0.0
FECRMR1,0.0
FECRMR2,0.0
TDP,0.0
3PEPTabcpp,0.0
4PEPTabcpp,0.0
AGM3Pt2pp,0.0
AGM4Pt2pp,0.0
AGMt2pp,0.0
FECRMexs,0.0
ARBTNR1,0.0
ARBTNR2,0.0
ARBTNR3,0.0
ARBTNexs,0.0
FEOXAMexs,0.0
FEOXAMR1,0.0
FEOXAMR2,0.0
FEOXAMR3,0.0
CD2t3pp,0.0
ZNabcpp,0.0
FE2t2pp,0.0
PAPSR2,0.0
GRXR,0.0
RNDR1b,0.0
RNDR2b,0.0
FACOAE181,0.0
FACOAE160,0.0
FACOAE140,0.0
CPGNR1,0.0
CPGNR2,0.0
CPGNR3,0.0
CPGNUtpp,0.0
CPGNUtex,0.0
PPGPPDP,0.0
CPGNabcpp,0.0
CPGNexs,0.0
CITtex,0.0
GUACYC,0.0
ATPHs,0.0
GTPHs,0.0
MN6PP,0.0
F6PP,0.0
GDPMNH,0.0
FACOAL60t2pp,0.0
IDONt2rpp,0.0
ILEabcpp,0.0
INDOLEt2pp,0.0
INSt2pp,0.0
GDPDPK,0.0
MOBDabcpp,8.77349299941557e-05
MOBDtex,8.77349299941557e-05
NI2uabcpp,0.0
NI2tex,0.00028075177598129824
R1PK,0.0
R15BPK,0.0
Kabcpp,0.0
LEUabcpp,0.0
L_LACt2rpp,0.0
MALt2_2pp,0.0
MALt2_3pp,0.0
MELIBt2pp,0.0
METabcpp,0.0
GGPTRCS,0.0
SERt4pp,0.0
SUCCt2_3pp,0.0
NAt3_1p5pp,0.0
NAt3_2pp,0.0
NH4tpp,9.475460174298757
ORNabcpp,0.0
PIuabcpp,0.0
PROabcpp,0.0
PROt2rpp,0.0
PROt4pp,0.0
PTRCabcpp,0.0
ASNNpp,0.0
NTD12,0.0
FECRMtonex,0.0
ARBTNtonex,0.0
EX_enter_e,0.0
EX_cgly_e,0.0
CRNabcpp,0.0
CRNDabcpp,0.0
DNTPPA,0.0005790505379614245
CTBTabcpp,0.0
NTPP9,0.0
NTPP10,0.0
NTPP11,0.0
ARGDCpp,0.0
ADEtex,0.0
ADNtex,0.0
AGMtex,0.0
ALAtex,0.0
DALAtex,0.0
ARGtex,0.0
GPDDA4pp,0.0
GPDDA2pp,0.0
FACOAL120t2pp,0.0
FACOAL140t2pp,0.0
FE3HOXtonex,0.0
CU2abcpp,0.0
COBALT2abcpp,0.0
NI2abcpp,0.0
MG2uabcpp,0.0
FE3tex,0.0
MG2tex,0.0076066184304933
Zn2tex,0.0002982987619801294
GLUabcpp,0.0
GLUABUTt7pp,0.0
GLUt2rpp,0.0
GLUt4pp,0.0
GLYALDtpp,0.0
EX_etha_e,0.0
ACGK,0.2595023759367137
LCTSt3ipp,0.0
ARBt3ipp,0.0
NADPHQR2,0.0
NADPHQR3,0.0
NADPHQR4,0.0
GLBRAN2,0.0
METOX1s,0.0
METOX2s,0.0
ECAtpp,0.0
GLYCAt2rpp,0.0
GLYCAtex,0.0
EX_enlipa_e,-0.0
AGM4PCP,0.0
4PCP,0.0
4PCPpp,0.0
GLYBabcpp,0.0
GLYC3Pt6pp,0.0
GLYCLTt4pp,0.004562216359696096
